id,variant,predicted_class,predicted_label,confidence,regression_prediction,main_modality,text_contribution,audio_contribution,vision_contribution,text_evidence,audio_evidence,vision_evidence
01,aligned,1,Neutral,0.4764288067817688,-0.006493832916021347,text,0.9709935721650615,0.029006427834938463,0.0,replacing | timing | components | when | [CLS],0.22-0.24s | 0.24-0.26s | 0.34-0.36s | 0.00-0.02s | 0.16-0.18s,0-0 | 1-1 | 2-2 | 1-1 | 1-1
17,aligned,2,Positive,0.7801129817962646,0.8121458888053894,text,0.9607402924130891,0.0,0.0392597075869109,presentations | presentations | simple | your | four,0.30-0.32s | 0.32-0.34s | 0.12-0.14s | 0.40-0.42s | 0.28-0.30s,2-2 | 1-1 | 2-2 | 1-2 | 2-2
18,aligned,0,Negative,0.44081294536590576,-0.26119184494018555,text,0.9042463856925625,0.04334899344091146,0.052404620866525954,been | has | on | in | –,0.54-0.56s | 0.90-0.92s | 0.06-0.08s | 0.56-0.58s | 0.28-0.30s,4-5 | 0-0 | 1-2 | 3-3 | 3-3
19,aligned,0,Negative,0.7186108827590942,-0.6002759337425232,text,1.0,0.0,0.0,"there | to | , | some | imperfect",0.70-0.72s | 0.54-0.56s | 0.32-0.34s | 0.38-0.40s | 0.50-0.52s,4-4 | 2-2 | 3-3 | 2-2 | 2-3
20,aligned,2,Positive,0.805114209651947,0.812812089920044,vision,0.3036293777097017,0.08314078766323113,0.6132298346270671,more | we | for | the | this,0.16-0.18s | 0.28-0.30s | 0.34-0.36s | 0.36-0.38s | 0.42-0.44s,2-2 | 1-2 | 1-1 | 2-2 | 2-2
01,unaligned,1,Neutral,0.48364555835723877,0.0707138180732727,text,0.9172645054985744,0.08273549450142556,0.0,replacing | components | timing | when | these,0.34-0.36s | 0.22-0.24s | 0.24-0.26s | 0.16-0.18s | 0.08-0.10s,2-2 | 1-1 | 0-0 | 1-1 | 1-1
02,unaligned,0,Negative,0.5624775290489197,-0.3350423276424408,text,0.9970068117959963,2.565406645814186e-06,0.0029906227973578877,other | other | want | live | live,0.34-0.36s | 0.36-0.38s | 0.18-0.20s | 0.20-0.22s | 0.08-0.10s,0-0 | 2-2 | 2-2 | 1-1 | 1-1
03,unaligned,0,Negative,0.4003542363643646,-0.1824955940246582,text,0.9963801310212802,9.805514163574934e-07,0.0036188884273033886,who | rental | just | which | think,0.48-0.50s | 0.40-0.42s | 0.62-0.64s | 0.34-0.36s | 0.28-0.30s,1-2 | 2-2 | 2-2 | 2-2 | 3-3
04,unaligned,0,Negative,0.805875837802887,-1.2227470874786377,text,0.99833216973082,0.0,0.0016678302691800482,if | team | chances | exercise | kiss,0.30-0.32s | 0.50-0.52s | 0.42-0.44s | 0.24-0.26s | 0.04-0.06s,0-0 | 1-1 | 2-2 | 2-3 | 2-2
05,unaligned,2,Positive,0.7280573844909668,0.7015816569328308,audio,0.051938238286953056,0.76439410697695,0.18366765473609697,hi | name | name | is | my,0.08-0.10s | 0.16-0.18s | 0.26-0.28s | 0.24-0.26s | 0.28-0.30s,0-0 | 1-1 | 1-1 | 1-1 | 1-2
06,unaligned,2,Positive,0.803083598613739,0.67174232006073,text,0.878110011149273,0.12188998885072695,0.0,re | sense | of | then | impressive,0.12-0.14s | 0.18-0.20s | 0.30-0.32s | 0.56-0.58s | 0.64-0.66s,2-2 | 3-3 | 3-3 | 1-1 | 1-1
07,unaligned,2,Positive,0.6650920510292053,0.5751883387565613,text,0.935519699320002,0.01819263952611033,0.04628766115388761,"[SEP] | along | , | with | the",0.58-0.60s | 0.60-0.62s | 0.88-0.90s | 0.98-1.00s | 0.90-0.92s,3-3 | 3-3 | 4-4 | 5-5 | 4-5
08,unaligned,2,Positive,0.694304347038269,0.6288551688194275,text,0.9995255359011168,0.0004744640988831845,0.0,[CLS] | that | brings | that | that,0.04-0.06s | 0.12-0.14s | 0.08-0.10s | 0.06-0.08s | 0.16-0.18s,1-1 | 0-0 | 0-0 | 0-0 | 1-1
09,unaligned,0,Negative,0.8610212206840515,-1.2951629161834717,text,1.0,0.0,0.0,##h | ##h | uh | did | did,0.32-0.34s | 0.30-0.32s | 0.14-0.16s | 0.08-0.10s | 0.16-0.18s,2-2 | 1-1 | 2-2 | 0-0 | 1-1
10,unaligned,0,Negative,0.8289784789085388,-1.1009224653244019,text,1.0,0.0,0.0,like | flick | ##s | do | chick,0.46-0.48s | 0.44-0.46s | 0.52-0.54s | 0.30-0.32s | 0.32-0.34s,2-2 | 2-2 | 3-3 | 2-2 | 2-2
11,unaligned,0,Negative,0.7185776829719543,-0.8037261366844177,text,0.9671541093679386,0.02686540007864819,0.0059804905534132724,would | i | would | [CLS] | be,0.22-0.24s | 0.12-0.14s | 0.08-0.10s | 0.02-0.04s | 0.10-0.12s,1-1 | 0-1 | 0-0 | 0-0 | 1-1
12,unaligned,0,Negative,0.7025639414787292,-0.7203006148338318,text,0.9922247263361237,0.0,0.007775273663876368,and | perhaps | individual | own | their,0.58-0.60s | 0.82-0.84s | 0.12-0.14s | 0.42-0.44s | 0.48-0.50s,1-1 | 3-3 | 4-4 | 2-2 | 2-2
13,unaligned,1,Neutral,0.4875531792640686,0.20825053751468658,text,0.987469732934146,0.012530267065853978,0.0,", | and | , | that | for",0.10-0.12s | 0.40-0.42s | 0.46-0.48s | 0.04-0.06s | 0.34-0.36s,2-2 | 0-0 | 2-2 | 2-2 | 0-1
14,unaligned,1,Neutral,0.4196358025074005,-0.023791633546352386,text,0.7619939817180492,0.23800601828195084,0.0,- | co | uniform | and | ##e,0.36-0.38s | 0.14-0.16s | 0.40-0.42s | 0.12-0.14s | 0.58-0.60s,2-2 | 3-3 | 2-2 | 1-1 | 1-1
15,unaligned,2,Positive,0.8585864901542664,1.0112042427062988,audio,0.3107245559627855,0.4649111925570905,0.22436425148012404,"their | prior | , | despite | however",0.06-0.08s | 0.14-0.16s | 0.10-0.12s | 0.16-0.18s | 0.38-0.40s,0-1 | 0-0 | 1-1 | 1-1 | 2-2
16,unaligned,0,Negative,0.8542961478233337,-1.2749546766281128,text,0.9831358098462969,0.011995263862607753,0.004868926291095398,[CLS] | it | it | [CLS] | ',0.06-0.08s | 0.02-0.04s | 0.14-0.16s | 0.08-0.10s | 0.04-0.06s,0-0 | 0-0 | 0-0 | 1-1 | 0-0
17,unaligned,2,Positive,0.8419000506401062,0.9497457146644592,text,0.9879796758934163,0.0,0.012020324106583713,presentations | is | your | simple | easy,0.40-0.42s | 0.46-0.48s | 0.30-0.32s | 0.28-0.30s | 0.36-0.38s,1-2 | 2-2 | 2-2 | 2-2 | 2-2
18,unaligned,0,Negative,0.43506187200546265,-0.2564457654953003,text,0.9890907487871697,0.003988848289381345,0.006920402923448953,denied | been | in | – | on,0.56-0.58s | 0.90-0.92s | 0.06-0.08s | 0.28-0.30s | 0.58-0.60s,0-0 | 1-2 | 4-5 | 3-3 | 3-3
19,unaligned,0,Negative,0.7219656705856323,-0.6176061630249023,text,0.9956653063106684,0.0,0.004334693689331581,"there | to | , | some | imperfect",0.70-0.72s | 0.54-0.56s | 0.50-0.52s | 0.32-0.34s | 0.38-0.40s,2-2 | 2-2 | 3-3 | 2-3 | 4-4
20,unaligned,2,Positive,0.7643521428108215,0.7315611839294434,text,0.8160340379434696,0.13191484812634519,0.052051113930185154,"more | we | for | , | this",0.34-0.36s | 0.42-0.44s | 0.28-0.30s | 0.36-0.38s | 0.38-0.40s,1-2 | 2-2 | 2-2 | 2-2 | 2-2
