id,raw_word_count,full_bert_tokens,stored_bert_tokens,token_limit,omitted_bert_tokens,truncated,raw_text
-UacrmKiTn4$_$4,14,17,17,50,0,False,Just given to their own devices they are not going to read the textbook.
-UacrmKiTn4$_$10,18,24,24,50,0,False,"Because, if they are not in any way held accountable for reading the material they won't do it."
-UuX1xuaiiE$_$0,9,14,14,50,0,False,^it's amazing to see their enthusiasm and their passion
-UuX1xuaiiE$_$1,27,35,35,50,0,False,^And all of them are really being able to explore ^these different areas in depth ^in a way that really wasn't available ^before the center was here
-UuX1xuaiiE$_$3,9,11,11,50,0,False,My goal is to become a human rights lawyer
-UuX1xuaiiE$_$6,22,25,25,50,0,False,"I ended up going to work for the US government as an intelligence analyst, specializing in war crimes and human rights issues"
-a55Q6RWvTA$_$3,65,84,50,50,34,True,"And if you clip coupons, if you don't go out for dinner and movies and things of that nature and try to take up things in life that, well, they always say, ""the best things in life are free"". Reading a book, going for a nice walk, and, of course, combining exercise and various things of that nature where you're not spending money per se."
-aNfi7CP8vM$_$7,18,25,25,50,0,False,"Maybe they have no political party affiliation, they're not interested in politics, they could care less about politics."
-aqamKhZ1Ec$_$0,13,18,18,50,0,False,"In 2008, there were very serious tribal warfare in Kenya following a disputed election."
-dxfTGcXJoc$_$0,38,62,50,50,12,True,"This is Governor Steve Beshear ... About Kentucky Our state is home to more than 1,500 bioscience and lifescience companies and more than 100,000 people who work for these firms, in areas from nutrigenomics and pharmaceuticals to nanotechnology and medical devices."
-dxfTGcXJoc$_$1,37,44,44,50,0,False,"For the 10th straight year, some of Kentucky’s best and most innovative biotech companies and technologies were on display at the annual BIO International Convention, which I and other state officials attended this week in Chicago."
-dxfTGcXJoc$_$2,32,42,42,50,0,False,"An estimated 20,000 biotech scientists, executives and industry experts from more than 50 nations were at the BIO conference to learn about the latest scientific advances, and to exchange ideas and establish business relationships."
-dxfTGcXJoc$_$6,29,34,34,50,0,False,Kentucky’s participation at the annual BIO International Convention is the primary means by which our high-tech companies and institutions can reach out to the global scientific community.
-egA8-b7-3M$_$1,19,24,24,50,0,False,I started a successful Legal Nurse Consulting Business in 1989. I mentor nurses who want to become Legal Nurse Consultants.
-egA8-b7-3M$_$6,12,15,15,50,0,False,First exhibiting is a wonderful opportunity to network with other legal vendors.
-egA8-b7-3M$_$9,10,14,14,50,0,False,"Secondly, another goal of exhibiting  is building your company image."
-egA8-b7-3M$_$13,11,18,18,50,0,False,"What are you doing that's different?"" They always want an answer."
-egA8-b7-3M$_$16,11,15,15,50,0,False,"Third, another big benefit of exhibiting is connecting with existing clients."
-egA8-b7-3M$_$17,16,21,21,50,0,False,"As you have more experience, you have more times exhibiting, you get to know more people."
-egA8-b7-3M$_$18,22,29,29,50,0,False,It becomes easier at each one of these conferences to connect with people that you've met or that you're doing business with.
-egA8-b7-3M$_$20,20,26,26,50,0,False,"Now you've got a face that you can connect with a voice, and that makes you closer to that client."
-egA8-b7-3M$_$26,15,21,21,50,0,False,We're updating it all the time and looking forward to your comments on our videos.
-hnBHBN8p5A$_$6,13,16,16,50,0,False,"Discussion, how to discuss ideas and opinions more effectively than a native speaker"
-hnBHBN8p5A$_$7,14,19,19,50,0,False,"Picture this, before we actually start hacking, we’re in a room formal setting"
-iRBcNs9oI8$_$3,8,11,11,50,0,False,"Well, it is the secret of power pose"
-iRBcNs9oI8$_$6,5,7,7,50,0,False,What is a power pose
-iRBcNs9oI8$_$7,9,17,17,50,0,False,"Well, for starters, let's look at the word ""power"""
-iRBcNs9oI8$_$8,21,28,28,50,0,False,"I've drawn this man here, and if you can tell, he has a lot of big muscles, he looks very strong"
-iRBcNs9oI8$_$9,5,7,7,50,0,False,Power is similar to strength
-lzEya4AM_4$_$5,19,23,23,50,0,False,"If it falls into oh any of those three categories, inducing nausea and vomiting would be your next step."
-lzEya4AM_4$_$6,43,50,50,50,0,False,"If the product or poison is some type of petroleum product or corrosive product, you would not attempt to induce vomiting and nausea, as as the product burned on the way down it could cause damage and burning on the way back up."
-mJ2ud6oKI8$_$1,13,15,15,50,0,False,There are a dozen or more hands on techniques that we can do
-mJ2ud6oKI8$_$2,11,19,19,50,0,False,So physical therapists and chiropractors will do joint manipulations and mobilizations
-mJ2ud6oKI8$_$6,5,7,7,50,0,False,They are all very safe
-mJ2ud6oKI8$_$8,11,13,13,50,0,False,Sometimes we have to stretch that joint that is already irritated
-mJ2ud6oKI8$_$9,22,31,31,50,0,False,"It's safe and the person will feel better later on, but it's sort of like flossing your teeth for the first time"
-mqbVkbCndg$_$0,14,19,19,50,0,False,"How, at a particular moment in time—our moment in time—are they limited"
-qDkUB0GgYY$_$6,16,20,20,50,0,False,"We always love to hear what you say, and like and share this video as well."
-ri04Z7vwnc$_$0,8,10,10,50,0,False,going to get married or are already married
-ri04Z7vwnc$_$2,16,28,28,50,0,False,"most people think it'll sort itself out, ""we'll discuss it later,"" it's not something too important"
-ri04Z7vwnc$_$5,8,13,13,50,0,False,""" So I think it's important to discuss finances"
-s9qJ7ATP7w$_$0,24,30,30,50,0,False,"they have doubt, they have fear, they lose in a Ferrari race, or they lose in a race, and then they just give up"
-s9qJ7ATP7w$_$1,11,14,14,50,0,False,"But the hardest thing in life to learn, is to lose"
-s9qJ7ATP7w$_$4,9,12,12,50,0,False,"I have lost at everything you can imagine, seriously"
-s9qJ7ATP7w$_$5,19,22,22,50,0,False,"I have been beat up and put down and everything that can go wrong, has gone wrong for me"
-s9qJ7ATP7w$_$6,5,7,7,50,0,False,But I just kept going
-s9qJ7ATP7w$_$7,28,40,40,50,0,False,"I used to work for Warren Avis, the guy who started Avis Rent a Car, and he said to me one day, ""Robert, ""what's the purpose of business"
-s9qJ7ATP7w$_$8,12,19,19,50,0,False,""" And I said, ""Oh, make a profit, and all these other things"
-t217m2on-s$_$2,12,18,18,50,0,False,"But a good thing to do is yawning, chewing gum is effective."
-t217m2on-s$_$7,45,55,50,50,5,True,"If you find that your ears consistently do this and you can't pop them often, you'll definitely need to see a physician regarding those things, it could be something more of a nasal infection or a sinus infection that he would need to deal with."
-tANM6ETl_M$_$3,22,31,31,50,0,False,"The first place is either you have a prospect, or a customer who's never done it before, or they've never tried it."
-tPCytz4rww$_$10,12,17,17,50,0,False,Say twenty percent so if you've got a thousand square foot condo.
-tPCytz4rww$_$11,17,22,22,50,0,False,"Make sure that your using comps that are not larger, no larger than twelve hundred square feet."
-tPCytz4rww$_$12,26,30,30,50,0,False,"No less than eight hundred squire feet and going to similar in, similar with bedrooms and bathrooms as well and hopefully the complexes have similar amenities."
-tPCytz4rww$_$16,16,19,19,50,0,False,So make sure to get a through or to do a through cleaning of the property.
-tPCytz4rww$_$18,16,24,24,50,0,False,Do so and as well you'll also want to remove any clutter from that you've accumulated.
-uywlfIYOS8$_$4,18,24,24,50,0,False,"And then from a brand point of view, we need to make sure we're driving the relevant insight."
-vxjVxOeScU$_$4,21,29,29,50,0,False,"You're going to talk about their life, their marriage and usually how amazing it is that they've stayed together this long."
-wMB_hJL-3o$_$7,22,25,25,50,0,False,So if you have a loved one who is depressed those are some of the things that you should think about doing.
-wny0OAz3g8$_$0,10,13,13,50,0,False,trade labor unions didn’t allow Black workers to join
-wny0OAz3g8$_$1,24,30,30,50,0,False,"And because they couldn’t join unions, many Black workers couldn’t get manufacturing or trade work – which paid much better than service work"
-wny0OAz3g8$_$2,24,30,30,50,0,False,"And because they couldn’t get these jobs, Black communities had more men out of work, higher rates of poverty, and more criminal behavior"
-wny0OAz3g8$_$3,20,22,22,50,0,False,Which then allowed the white workers and unions to justify their decision to not allow black workers into their union
-wny0OAz3g8$_$5,21,29,29,50,0,False,"This is what’s now known as racial formation theory, a theory formalized by modern sociologists Michael Omi and Howard Winant"
-wny0OAz3g8$_$7,29,33,33,50,0,False,Omi and Winant argue that the concept of race came about as a tool to justify and maintain the economic and political power held by those of European descent
-wny0OAz3g8$_$9,20,24,24,50,0,False,"He explores why Black and White Americans tend to have such different outcomes in terms of income, education, and more"
-yRb-Jum7EQ$_$1,49,57,50,50,7,True,"it comes with the assistance and agitation of states and regimes, Yesterday Iran announced that it will finance the families of the terrorists and murderers this shows that Iran, even after the nuclear agreement, is continuing to aid terrorism, including Palestinian terrorism, Hezbollah terrorism and its assistance to Hamas."
-yRb-Jum7EQ$_$5,25,33,33,50,0,False,"Yesterday Eliav Gelman lost his life in another terrorist attack, not by the students of terrorism, but by those who teach terrorism, a Palestinian teacher."
-yRb-Jum7EQ$_$6,19,26,26,50,0,False,"Therefore, the world needs to stand with Israel against this incitement, which is the number one cause of terrorism."
