id,video_path,sha256,duration_seconds,fps,frame_count,text_valid_bins,audio_valid_bins,vision_valid_bins,text_backend,audio_backend,vision_backend
-HeZS2-Prhc$_$2,D:\E_math\DATA\attachment_1_raw_samples\videos\-HeZS2-Prhc\2.mp4,edb0fa22fdfbd990c8174764af78670bd2ecad799240d35d96a1124a3cd9dc0c,8.26,30.0,248.0,36.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-HwX2H8Z4hY$_$2,D:\E_math\DATA\attachment_1_raw_samples\videos\-HwX2H8Z4hY\2.mp4,920a1052c09ebd1eedba6dd1ccfecd80f56f6f0fdcdd1f6dd32b0d90bcb89358,3.98,30.0,119.0,21.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-HwX2H8Z4hY$_$5,D:\E_math\DATA\attachment_1_raw_samples\videos\-HwX2H8Z4hY\5.mp4,8d61b7f5840a8bd403d9bc6c3cd49029ffc4e304cf9c7834735c1a6bb5fd369d,5.65,30.0,170.0,38.0,49.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-HwX2H8Z4hY$_$6,D:\E_math\DATA\attachment_1_raw_samples\videos\-HwX2H8Z4hY\6.mp4,696576dcbd0dc42cb678fa40d8a0f0f419a3072bfa7662d653756ab29bba4c46,3.36,30.0,101.0,26.0,49.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-HwX2H8Z4hY$_$9,D:\E_math\DATA\attachment_1_raw_samples\videos\-HwX2H8Z4hY\9.mp4,90c18e627f27a12c14e21ba24c79edf3008762b4ac26874b490ad3f888381702,7.73,30.0,232.0,37.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-I_e4mIh0yE$_$1,D:\E_math\DATA\attachment_1_raw_samples\videos\-I_e4mIh0yE\1.mp4,8453a966d4bd1f0179eb86a35cd34c0864a3a3bc2fa86f37783060cc0d14f5df,7.62,30.0,229.0,35.0,49.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-I_e4mIh0yE$_$3,D:\E_math\DATA\attachment_1_raw_samples\videos\-I_e4mIh0yE\3.mp4,a015f02ae51d74c42ad27e2a0831263a303f0658ac8d984819e27ad61342b23e,9.16,30.0,275.0,34.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-MeTTeMJBNc$_$0,D:\E_math\DATA\attachment_1_raw_samples\videos\-MeTTeMJBNc\0.mp4,54e2097f7bdb455d243e72254e5af7ed16160739f2f3cfd22f57d2729ec1acbe,9.3,30.0,279.0,38.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-MeTTeMJBNc$_$7,D:\E_math\DATA\attachment_1_raw_samples\videos\-MeTTeMJBNc\7.mp4,40716dc7402fd6398038eded58ce939ec76be6afbeea346b968bf4c427088f3a,10.52,30.0,316.0,41.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-MeTTeMJBNc$_$13,D:\E_math\DATA\attachment_1_raw_samples\videos\-MeTTeMJBNc\13.mp4,80c5d996e5d7b61c58e1fe32d706efcaf80c8c8cddb5c37a5c66d527786c2a44,5.43,30.0,163.0,33.0,49.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-NFrJFQijFE$_$1,D:\E_math\DATA\attachment_1_raw_samples\videos\-NFrJFQijFE\1.mp4,d8fcf16c6eb51c56947ec3d0549c6f3bc7a0cf1fc5f5d89e8b38d4249a08db4f,5.75,25.0,144.0,44.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-NFrJFQijFE$_$2,D:\E_math\DATA\attachment_1_raw_samples\videos\-NFrJFQijFE\2.mp4,a54a5c144a64f5abd26b19aafa6cea8142ee08e9385fa508fa70c934f6b616c1,6.86,25.0,172.0,41.0,49.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-RfYyzHpjk4$_$2,D:\E_math\DATA\attachment_1_raw_samples\videos\-RfYyzHpjk4\2.mp4,5e428ee22de58c9d6561b9b4353bef9dfb811a5841d9ab07b5bc453d697ad17f,5.52,30.0,166.0,40.0,49.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-RfYyzHpjk4$_$8,D:\E_math\DATA\attachment_1_raw_samples\videos\-RfYyzHpjk4\8.mp4,ed8c672c532b8c7d1c830c82d6e2c14fcb3bbd3dc1a86670a03a6c8e83c02f3c,4.59,30.0,138.0,38.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-RfYyzHpjk4$_$11,D:\E_math\DATA\attachment_1_raw_samples\videos\-RfYyzHpjk4\11.mp4,96e481cd732001239639c8cb4e7f94e570925e5a15940920ffab0cec1f13f904,5.24,30.0,157.0,34.0,49.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-THoVjtIkeU$_$2,D:\E_math\DATA\attachment_1_raw_samples\videos\-THoVjtIkeU\2.mp4,35a6c2464ffd68dd96411edb5dc2763f0efb59f264c1d8b737e616fa6b0d1d5b,4.29,30.0,129.0,35.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-THoVjtIkeU$_$6,D:\E_math\DATA\attachment_1_raw_samples\videos\-THoVjtIkeU\6.mp4,efaa55ee6394032c867046690a92c29edfd825005f0a090cca5ccb763b227f64,8.1,30.0,243.0,41.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-THoVjtIkeU$_$12,D:\E_math\DATA\attachment_1_raw_samples\videos\-THoVjtIkeU\12.mp4,e2f148f4f2e74724dc13b3ce870a0ce6a06740cfc224f5a9b3d0a870b196e7d4,14.9,30.0,447.0,44.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-UUCSKoHeMA$_$0,D:\E_math\DATA\attachment_1_raw_samples\videos\-UUCSKoHeMA\0.mp4,3f9792888ec8e969f61cfb6cb4de7bdf7ef8944afe0a9d2a9d13586e1f13b898,7.8,30.0,234.0,34.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-UacrmKiTn4$_$4,D:\E_math\DATA\attachment_1_raw_samples\videos\-UacrmKiTn4\4.mp4,a7f2ab0d6ee2e2a2d5cd4239f03e6cac67c618ddb744891323df3ff87e29af84,4.74,30.0,142.0,39.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-UacrmKiTn4$_$10,D:\E_math\DATA\attachment_1_raw_samples\videos\-UacrmKiTn4\10.mp4,00312e0602dbeac970de5d7dd0e8a970e514fe45d7fe6625b4f454b299e36360,7.36,30.0,221.0,37.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-UuX1xuaiiE$_$0,D:\E_math\DATA\attachment_1_raw_samples\videos\-UuX1xuaiiE\0.mp4,f578b305d53bc152702f5e771de0fcd12d1e9aaefc5cefce3d2082a417aab7c8,3.63,30.0,109.0,39.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-UuX1xuaiiE$_$1,D:\E_math\DATA\attachment_1_raw_samples\videos\-UuX1xuaiiE\1.mp4,d5bbda38fcec15817d2b87bab5dcc559d6d425f7d28a82e6c32d13f14b48650c,10.35,30.0,310.0,39.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-UuX1xuaiiE$_$3,D:\E_math\DATA\attachment_1_raw_samples\videos\-UuX1xuaiiE\3.mp4,eddb408f25bdc13e6de2fb74caeed709cb7a8f00640e7897135330437f66a2aa,4.13,30.0,124.0,29.0,49.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-UuX1xuaiiE$_$6,D:\E_math\DATA\attachment_1_raw_samples\videos\-UuX1xuaiiE\6.mp4,f0131ac00e44410fbd32c547a0d421c2791172434fc0203bb969abe14a530532,8.11,30.0,243.0,37.0,49.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-a55Q6RWvTA$_$3,D:\E_math\DATA\attachment_1_raw_samples\videos\-a55Q6RWvTA\3.mp4,15d029fc15f50b268b98f1e8abc65e45582e638c13a018d7aa74a18373275946,22.15,30.0,664.0,37.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-aNfi7CP8vM$_$7,D:\E_math\DATA\attachment_1_raw_samples\videos\-aNfi7CP8vM\7.mp4,0b6389f45bb966113c65a11998c6e7facdd24c8c42acf2e8cf32e0f2139402e1,8.69,30.0,261.0,37.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-aqamKhZ1Ec$_$0,D:\E_math\DATA\attachment_1_raw_samples\videos\-aqamKhZ1Ec\0.mp4,6f6e674bbba4353399e9e7825217f37e6d8ca1adf9675f33cf37106f31c55548,10.97,30.0,329.0,44.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-dxfTGcXJoc$_$0,D:\E_math\DATA\attachment_1_raw_samples\videos\-dxfTGcXJoc\0.mp4,04bd0be907fb46c613f926fe1b06bc2c3b30881c293156510baa34a4105ade55,20.5,30.0,615.0,40.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-dxfTGcXJoc$_$1,D:\E_math\DATA\attachment_1_raw_samples\videos\-dxfTGcXJoc\1.mp4,b5ffdc98a4a98b8f0aae55dee5fed66a43bcb129f47a250a004c1cc74e572595,16.16,30.0,485.0,46.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-dxfTGcXJoc$_$2,D:\E_math\DATA\attachment_1_raw_samples\videos\-dxfTGcXJoc\2.mp4,46a5e523b5dd00364c99a3bcbc6fae4c80e1382a84b5b5e681c46eb074ed10f7,16.7,30.0,501.0,43.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-dxfTGcXJoc$_$6,D:\E_math\DATA\attachment_1_raw_samples\videos\-dxfTGcXJoc\6.mp4,55c1ff86729ab21da743a5107ed07b220e41b4193cd1c0ba9f009e65c3ab0513,12.74,30.0,382.0,45.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-egA8-b7-3M$_$1,D:\E_math\DATA\attachment_1_raw_samples\videos\-egA8-b7-3M\1.mp4,589a7989b1b4888568c31614a2d6beefba88fb87289c85b94df2d8051500403b,10.27,30.0,308.0,34.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-egA8-b7-3M$_$6,D:\E_math\DATA\attachment_1_raw_samples\videos\-egA8-b7-3M\6.mp4,2e88a00d5e55863aa956b4b0949fc0e4f2975ccfd83b3194957f6fca86ecfce0,6.26,30.0,188.0,38.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-egA8-b7-3M$_$9,D:\E_math\DATA\attachment_1_raw_samples\videos\-egA8-b7-3M\9.mp4,bcd643f328616312eae9b28e6c9aabbe8acaec3e4c4be58daeb45e3eee4d973c,5.09,30.0,153.0,36.0,49.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-egA8-b7-3M$_$13,D:\E_math\DATA\attachment_1_raw_samples\videos\-egA8-b7-3M\13.mp4,cbd627c225ebca37521ae238cb9ec254cad236822f4f37ebfbb039e6c56aea4c,4.18,30.0,125.0,32.0,49.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-egA8-b7-3M$_$16,D:\E_math\DATA\attachment_1_raw_samples\videos\-egA8-b7-3M\16.mp4,4c015f85e3bd901ecedde8c0c2ca4a756d9a77dfe4177625c481581f2037ff9c,5.54,30.0,166.0,39.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-egA8-b7-3M$_$17,D:\E_math\DATA\attachment_1_raw_samples\videos\-egA8-b7-3M\17.mp4,f967e81e0edd51c3700671721afb3fbecbbc32652f27d2db40ea444e8d80c68f,7.27,30.0,218.0,32.0,49.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-egA8-b7-3M$_$18,D:\E_math\DATA\attachment_1_raw_samples\videos\-egA8-b7-3M\18.mp4,fd4bc95a6adfb16a9588b7ed65cc2812186ce3d607804dc76f4486312951ef90,8.39,30.0,252.0,38.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-egA8-b7-3M$_$20,D:\E_math\DATA\attachment_1_raw_samples\videos\-egA8-b7-3M\20.mp4,719ef133920e74b3ea33925d2bca0270b062199116867568f88ac83cadcd74e8,6.64,30.0,199.0,37.0,49.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-egA8-b7-3M$_$26,D:\E_math\DATA\attachment_1_raw_samples\videos\-egA8-b7-3M\26.mp4,11f78aed680ea9c5862a15e04ff6c1f8776c46d29c98b68d28773ff39d959685,6.03,30.0,181.0,36.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-hnBHBN8p5A$_$6,D:\E_math\DATA\attachment_1_raw_samples\videos\-hnBHBN8p5A\6.mp4,997f6808ac3973ddd71800e91c8e10755c10b5037186d84348a79e00d672fdc7,6.4,23.98,153.0,30.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-hnBHBN8p5A$_$7,D:\E_math\DATA\attachment_1_raw_samples\videos\-hnBHBN8p5A\7.mp4,0ec6fb76226315d3fafbb483e3500e60cc8a6729617b10e4b4b76163595080fb,7.37,23.98,177.0,33.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-iRBcNs9oI8$_$3,D:\E_math\DATA\attachment_1_raw_samples\videos\-iRBcNs9oI8\3.mp4,39c547acd1a8da2ebc6c6ab008191a5676420398a974cd9611cad087f0ccec50,5.62,29.97,168.0,24.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-iRBcNs9oI8$_$6,D:\E_math\DATA\attachment_1_raw_samples\videos\-iRBcNs9oI8\6.mp4,030b0b8d8d4ae47799432ab71b66fcc881f077c5b0feef892c1f146dc0a592e3,2.9,29.97,87.0,19.0,49.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-iRBcNs9oI8$_$7,D:\E_math\DATA\attachment_1_raw_samples\videos\-iRBcNs9oI8\7.mp4,cc7b1c7a06ec41d72007b5c42fb8036f30b66d5cf76e3f093160c22fc5e38081,4.1,29.97,123.0,40.0,49.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-iRBcNs9oI8$_$8,D:\E_math\DATA\attachment_1_raw_samples\videos\-iRBcNs9oI8\8.mp4,72a49e3da2862addcde033bd2fbae957d086533664ca4dcbccd3a851bcd50412,8.09,29.97,242.0,38.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-iRBcNs9oI8$_$9,D:\E_math\DATA\attachment_1_raw_samples\videos\-iRBcNs9oI8\9.mp4,352bdcc73d3622d6abac1b09f2039b211d15b9bf7acee66f0b07783c9b7a4c74,3.42,29.97,102.0,20.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-lzEya4AM_4$_$5,D:\E_math\DATA\attachment_1_raw_samples\videos\-lzEya4AM_4\5.mp4,3b74de8d0e66fd754594f05985e5af3480adcc03555f79225d3b727cb4bed043,7.68,30.0,230.0,35.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-lzEya4AM_4$_$6,D:\E_math\DATA\attachment_1_raw_samples\videos\-lzEya4AM_4\6.mp4,ff5da5afb551001d58100ed2471caea51c741046d5396957efbf40082307ca18,14.79,30.0,444.0,43.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-mJ2ud6oKI8$_$1,D:\E_math\DATA\attachment_1_raw_samples\videos\-mJ2ud6oKI8\1.mp4,c8e3acb4ca08679796c4c8cdfcd8c2b3cffc0465015efaffa1eccdb55ff4f45b,6.1,29.97,183.0,50.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-mJ2ud6oKI8$_$2,D:\E_math\DATA\attachment_1_raw_samples\videos\-mJ2ud6oKI8\2.mp4,c41790f8b75f886bd1f5d6d72cbab1985306d0b715e5ae47203f3d0c8a3e7b28,5.73,29.97,172.0,50.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-mJ2ud6oKI8$_$6,D:\E_math\DATA\attachment_1_raw_samples\videos\-mJ2ud6oKI8\6.mp4,134a3a4ebbc423760133b0da0e90cfe84d75ea85df3968000afd84153c5d828d,2.26,29.97,68.0,35.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-mJ2ud6oKI8$_$8,D:\E_math\DATA\attachment_1_raw_samples\videos\-mJ2ud6oKI8\8.mp4,6af6614c9838417a48c4817f4dd5bf1e6669eb5f78f983e9a68adc113fcdc7cc,4.19,29.97,126.0,38.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-mJ2ud6oKI8$_$9,D:\E_math\DATA\attachment_1_raw_samples\videos\-mJ2ud6oKI8\9.mp4,df3442f3ed8f894b507923e87e426ae9636790a4a502d00c350a215270cc3e47,7.03,29.97,211.0,37.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-mqbVkbCndg$_$0,D:\E_math\DATA\attachment_1_raw_samples\videos\-mqbVkbCndg\0.mp4,cdeba953bba30907814acf72f3e35582dec263eaa25bdd922dad7fafe02e4dda,6.47,30.0,194.0,34.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-qDkUB0GgYY$_$6,D:\E_math\DATA\attachment_1_raw_samples\videos\-qDkUB0GgYY\6.mp4,ab19bf4a761d3919b7113b1104ccaadbbf0c4e7b45694904d094280a2c329c8b,4.68,30.0,140.0,34.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-ri04Z7vwnc$_$0,D:\E_math\DATA\attachment_1_raw_samples\videos\-ri04Z7vwnc\0.mp4,93021c70c8fad20ad3fded80e7fc790a2f9c96835de58a3b694c6906de42684b,2.81,23.98,67.0,43.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-ri04Z7vwnc$_$2,D:\E_math\DATA\attachment_1_raw_samples\videos\-ri04Z7vwnc\2.mp4,f5993ce3a6ee56298462c08692a96f78c7d914d7264257ed401de7d6e17fd148,6.03,23.98,145.0,43.0,49.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-ri04Z7vwnc$_$5,D:\E_math\DATA\attachment_1_raw_samples\videos\-ri04Z7vwnc\5.mp4,2a5e4319bf592a18c8eb5117f7c7ec30c6c79528f9eac9fe4fb85bf70f277736,3.55,23.98,85.0,31.0,49.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-s9qJ7ATP7w$_$0,D:\E_math\DATA\attachment_1_raw_samples\videos\-s9qJ7ATP7w\0.mp4,f2324dbc6debe0d1e4254e6f943523373e3cbb30d8d0555413ce3a7b370a4af5,6.8,30.0,204.0,39.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-s9qJ7ATP7w$_$1,D:\E_math\DATA\attachment_1_raw_samples\videos\-s9qJ7ATP7w\1.mp4,a33e8f82a185bcb7648b523927308cdc2142e3076479ba2b45cd0e828636fc09,4.79,30.0,144.0,30.0,49.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-s9qJ7ATP7w$_$4,D:\E_math\DATA\attachment_1_raw_samples\videos\-s9qJ7ATP7w\4.mp4,76e0672ffce5857a789b41fb10606402f7da58c33579b1032a8282f86fb35bc9,4.43,30.0,133.0,28.0,48.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-s9qJ7ATP7w$_$5,D:\E_math\DATA\attachment_1_raw_samples\videos\-s9qJ7ATP7w\5.mp4,bd35eb8de64ce1f8b27921294598f7cf5bb971255738f51d06458c7096c58eae,8.56,30.0,257.0,32.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-s9qJ7ATP7w$_$6,D:\E_math\DATA\attachment_1_raw_samples\videos\-s9qJ7ATP7w\6.mp4,40b684fd1b4559f0f82e72f9b47f4ce7c5e15059fe8d0d8ab112637cd3386451,2.48,30.0,74.0,17.0,47.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-s9qJ7ATP7w$_$7,D:\E_math\DATA\attachment_1_raw_samples\videos\-s9qJ7ATP7w\7.mp4,5301f4403cf7cd299cc525d2f443392ac70fd70c3c9cd4a09406f2ba4df6734d,6.97,30.0,209.0,41.0,50.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
-s9qJ7ATP7w$_$8,D:\E_math\DATA\attachment_1_raw_samples\videos\-s9qJ7ATP7w\8.mp4,1de4d91bd9d9fb508a3779658747da88460db0bdb1beefe7ea5b2c77edfd2239,3.29,30.0,99.0,32.0,49.0,50.0,transformers:D:\E_math\models\bert-base-uncased,ffmpeg_numpy_74,ffmpeg_numpy_35
